OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,x,y,BLOCK,PLOT,uid
30,6f2499f6-4493-492d-ad0f-43042d77ae02,9/23/2024 12:16,ashley.lynn.carter_UMS,9/23/2024 12:16,ashley.lynn.carter_UMS,-68.60079505,44.83302764,B2,1,B21
29,88c73deb-350f-4f68-a44e-f885d730f051,9/23/2024 12:15,ashley.lynn.carter_UMS,9/23/2024 12:15,ashley.lynn.carter_UMS,-68.60069403,44.83319822,B2,2,B22
22,536e63e2-316e-4118-a262-6da54c9dc712,9/23/2024 12:03,ashley.lynn.carter_UMS,9/23/2024 12:03,ashley.lynn.carter_UMS,-68.60062805,44.83335324,B2,3,B23
21,abd5c20f-009a-4e7b-822f-7347c01f4473,9/23/2024 12:02,ashley.lynn.carter_UMS,9/23/2024 12:02,ashley.lynn.carter_UMS,-68.60051996,44.833534,B2,4,B24
14,22758ea3-8454-4e85-9313-caeba0509808,9/23/2024 11:51,ashley.lynn.carter_UMS,9/23/2024 11:51,ashley.lynn.carter_UMS,-68.600497,44.83367411,B2,5,B25
31,29c18b01-281f-4077-bb3c-c3e437141c57,9/23/2024 12:17,ashley.lynn.carter_UMS,9/23/2024 12:17,ashley.lynn.carter_UMS,-68.60051833,44.8329718,B2,6,B26
28,0a406fb8-0ab5-4c8d-8bd9-5f3bf39b7ff8,9/23/2024 12:11,ashley.lynn.carter_UMS,9/23/2024 12:11,ashley.lynn.carter_UMS,-68.60049257,44.83312157,B2,7,B27
23,07b228ea-1fff-485e-a313-852a4ab0c970,9/23/2024 12:05,ashley.lynn.carter_UMS,9/23/2024 12:05,ashley.lynn.carter_UMS,-68.60037602,44.83330561,B2,8,B28
20,43962dc4-e3de-4987-a903-7cf37b15d69e,9/23/2024 12:01,ashley.lynn.carter_UMS,9/23/2024 12:01,ashley.lynn.carter_UMS,-68.60033888,44.83345525,B2,9,B29
15,d2406eed-942c-463d-9049-f4493ad573d1,9/23/2024 11:52,ashley.lynn.carter_UMS,9/23/2024 11:52,ashley.lynn.carter_UMS,-68.60024528,44.83362236,B2,10,B210
36,3a831cda-9e5f-4ad9-87c2-94a34f1fbdf7,10/1/2024 11:40,ashley.lynn.carter_UMS,10/1/2024 11:40,ashley.lynn.carter_UMS,-68.60131294,44.83315883,B2,11,B211
32,325d45f0-6309-458d-831b-b86316e23167,9/23/2024 12:18,ashley.lynn.carter_UMS,9/23/2024 12:18,ashley.lynn.carter_UMS,-68.60032984,44.8329242,B3,1,B31
27,df82582f-ad2a-4cc8-81a9-0eb04f576fe8,9/23/2024 12:10,ashley.lynn.carter_UMS,9/23/2024 12:10,ashley.lynn.carter_UMS,-68.60023575,44.83308991,B3,2,B32
24,add79e8f-368d-4525-b42a-5ec9c1ea168b,9/23/2024 12:06,ashley.lynn.carter_UMS,9/23/2024 12:06,ashley.lynn.carter_UMS,-68.60015937,44.83326721,B3,3,B33
19,e4e8bdbd-245d-4d24-8700-83ccd16917c9,9/23/2024 11:59,ashley.lynn.carter_UMS,9/23/2024 11:59,ashley.lynn.carter_UMS,-68.60011996,44.8333858,B3,4,B34
16,897af339-53c0-4dd3-b24b-63c6f521a67d,9/23/2024 11:53,ashley.lynn.carter_UMS,9/23/2024 11:53,ashley.lynn.carter_UMS,-68.59999609,44.83357059,B3,5,B35
33,323ccb88-6486-4694-9950-3c260743ad3d,9/23/2024 12:21,ashley.lynn.carter_UMS,9/23/2024 12:21,ashley.lynn.carter_UMS,-68.60012925,44.83288511,B3,6,B36
26,4a98afb8-363f-4867-9785-a1fd691b1085,9/23/2024 12:09,ashley.lynn.carter_UMS,9/23/2024 12:09,ashley.lynn.carter_UMS,-68.60003531,44.83303831,B3,7,B37
25,07c6b8fa-a740-46f9-acff-47197204a6a4,9/23/2024 12:07,ashley.lynn.carter_UMS,9/23/2024 12:07,ashley.lynn.carter_UMS,-68.5999537,44.83320146,B3,8,B38
18,f27c6266-0123-4488-baf2-76c5b01d78d7,9/23/2024 11:58,ashley.lynn.carter_UMS,9/23/2024 11:58,ashley.lynn.carter_UMS,-68.59985921,44.83338014,B3,9,B39
17,ec790265-1aef-4b25-b591-85879f2c6948,9/23/2024 11:55,ashley.lynn.carter_UMS,9/23/2024 11:55,ashley.lynn.carter_UMS,-68.59960172,44.83325744,B3,10,B310
35,3ece65b7-99aa-4dd0-aa6a-48deef534d68,10/1/2024 11:34,ashley.lynn.carter_UMS,10/1/2024 11:34,ashley.lynn.carter_UMS,-68.60124435,44.83352992,B3,11,B311
8,c2eb9138-88a2-429d-99a9-fd1930a214a3,9/23/2024 11:38,ashley.lynn.carter_UMS,9/23/2024 11:38,ashley.lynn.carter_UMS,-68.60065968,44.83389029,B4,1,B41
7,c004cf34-2286-49bb-8136-778fb4bfd5a9,9/23/2024 11:36,ashley.lynn.carter_UMS,9/23/2024 11:36,ashley.lynn.carter_UMS,-68.60057814,44.83406212,B4,2,B42
9,96dcf791-b8a7-4fc2-b1e9-cb10c053782f,9/23/2024 11:41,ashley.lynn.carter_UMS,9/23/2024 11:41,ashley.lynn.carter_UMS,-68.60036258,44.83381812,B4,3,B43
6,87279114-7e23-48b7-ac1d-734188332255,9/23/2024 11:34,ashley.lynn.carter_UMS,9/23/2024 11:34,ashley.lynn.carter_UMS,-68.60035329,44.83402197,B4,4,B44
10,73335d9b-1024-4b70-a5ed-f0835d9f4e66,9/23/2024 11:43,ashley.lynn.carter_UMS,9/23/2024 11:43,ashley.lynn.carter_UMS,-68.60014668,44.83376915,B4,5,B45
5,e88c72e1-9262-4762-9103-9a7ee4164ec1,9/23/2024 11:32,ashley.lynn.carter_UMS,9/23/2024 11:32,ashley.lynn.carter_UMS,-68.60010098,44.83388685,B4,6,B56
11,c543d9e8-f5c8-4154-8004-d9862b62d49a,9/23/2024 11:45,ashley.lynn.carter_UMS,9/23/2024 11:45,ashley.lynn.carter_UMS,-68.59984149,44.83369253,B4,7,B57
4,b8184c8c-5a77-475b-abee-c163deca35be,9/23/2024 11:30,ashley.lynn.carter_UMS,9/23/2024 11:30,ashley.lynn.carter_UMS,-68.59989984,44.83386055,B4,8,B58
12,ea54997c-2623-4909-9f57-13125fc5809d,9/23/2024 11:46,ashley.lynn.carter_UMS,9/23/2024 11:46,ashley.lynn.carter_UMS,-68.59968413,44.83368094,B4,9,B59
13,2a758224-4b7a-41f1-8c11-59b4857985fc,9/23/2024 11:48,ashley.lynn.carter_UMS,9/23/2024 11:48,ashley.lynn.carter_UMS,-68.59963386,44.8338123,B4,10,B510
34,b96e1f59-fe11-4f7f-8087-5852cdd83f0e,10/1/2024 11:27,ashley.lynn.carter_UMS,10/1/2024 11:27,ashley.lynn.carter_UMS,-68.60094599,44.83410264,B4,11,B511
