BLOCK,PLOT,uid,BS_Suitability,WS_Suitability,RS_Suitability,elevation,tri,tpi,roughness,slope,aspect,flowdir,tmin,tmean,tmax,dew,vpdmax,vpdmin,McNab,Bolstad,Profile,Planform,Winds10,Winds50,SWI,RAD,ppt,Parent,Densic,Lithic,Redox,Min_depth,WD2000,WD2020,WHC,ex.mg,ex.ca,ph,dep,ex.k,nit,SWC2,MeanWD,set
B2,1,B21,0.007883365,0.040865228,0.311516851,57.40649796,0.656809807,0.12719059,2.091033936,2.192584276,189.2244873,8,0.783300042,6.604072571,12.42389774,1.29802072,8.980157852,0.58775562,-0.353546143,0.031232044,0.000226,0.000125,2.592228413,4.846539021,6.338381767,186.5833282,1097.989014,909,NA,65.66110992,28.47166634,53.98500061,-162.8953552,-188.7051086,193.6316071,0.188837051,1.946537852,5.973953724,35.74126816,0.102019548,1.039980769,244.6563263,-223.1491241,30m
B2,2,B22,0.008668818,0.041687667,0.31150949,58.11392593,0.520624161,0.062524796,1.531135559,1.804156661,182.301178,4,0.7825948,6.603777409,12.4240799,1.297795057,8.980121613,0.587475598,-0.296344757,0.015352576,9.10E-05,4.00E-06,2.592632532,4.845497131,6.443263531,186.5833282,1097.841675,909,NA,68.82098389,26.76666641,68.22624969,-162.8784943,-188.6947632,194.5687561,0.249960184,1.947238445,5.808184624,35.71087646,0.102031678,1.055341601,240.1788177,-223.1413574,30m
B2,3,B23,0.011263795,0.043309201,0.31150201,58.73428726,0.290429592,0.182964802,0.840988159,1.026627421,184.6688995,4,0.781889617,6.60348177,12.424263,1.297569513,8.980086327,0.587195575,-0.006473541,0.044927016,0.000435,3.80E-05,2.593016863,4.844447136,6.734575748,173.25,1097.694214,909,NA,60.65098953,26.60528374,61.22624969,-163.0224762,-188.8459015,204.4972534,0.307520211,2.034170628,5.574450493,35.53190613,0.103097878,1.099642158,231.4378662,-223.2940369,30m
B2,4,B24,0.062747702,0.031045858,0.311473548,58.95144272,0.166621685,0.166264057,0.271633148,0.037542183,261.7238464,4,0.780985177,6.603231907,12.4247179,1.297184706,8.980237007,0.586812854,0.135101318,0.040825695,0.000213,0.000241,2.596572876,4.846777916,8.691191673,132,1097.61731,909,NA,54.35542297,26.3777504,52.82849884,-163.520752,-189.3509216,210.4795837,1.995831966,2.311393261,2.922371149,35.61652374,0.163494915,1.775500894,305.2710571,-223.7935028,30m
B2,5,B25,0.009899897,0.042306304,0.311465979,58.75476074,0.410882473,0.266369343,1.256797791,1.386717439,353.915802,64,0.780283034,6.602937698,12.42490292,1.296962976,8.980201721,0.586531758,0.529342651,0.065407306,0.000643,5.60E-05,2.59489727,4.844828129,6.589110851,97.33333588,1097.470093,909,NA,55.65755463,13,52.77664948,-163.9327545,-189.7790375,217.2655945,0.309642702,2.560692549,5.633071423,36.4223175,0.102384642,1.07785058,235.7423553,-224.2084961,30m
B2,6,B26,0.008555896,0.041908223,0.311496258,57.40333939,0.517036438,-0.014087677,1.542842865,1.824275017,183.5432129,4,0.783091724,6.604113102,12.42416191,1.297849774,8.980343819,0.5876562,-0.355293274,-0.003459572,-2.00E-06,2.00E-06,2.601479769,4.852574348,6.430160999,174.25,1098.058838,909,NA,63.94488907,24.46854973,30.18112564,-163.050705,-188.8511353,193.5558167,0.242700934,2.022598505,5.83021307,35.79323959,0.101808585,1.048726797,238.8266907,-223.3025818,30m
B2,7,B27,0.009147724,0.04177827,0.311488628,58.11045456,0.499628544,0.031657696,1.33442688,1.747261763,179.7565002,4,0.782389581,6.60381937,12.42434788,1.297628045,8.980308533,0.587375104,-0.311916351,0.007773763,8.90E-05,0,2.599864006,4.850650787,6.50378561,174.25,1097.911621,909,NA,59.54303741,26.5769558,48.49796677,-163.0338593,-188.8407745,194.3000793,0.280462235,2.023846865,5.725493908,35.77561188,0.102016479,1.062179804,239.5180511,-223.2948456,30m
B2,8,B28,0.012558398,0.042727586,0.311481088,58.73327255,0.313634396,0.153745174,0.845897675,1.09978652,180.1324005,4,0.781687379,6.603525639,12.42453289,1.297406435,8.980273247,0.587093949,-0.100385666,0.037751805,0.000426,0,2.598228455,4.848718643,6.856814861,169.5833282,1097.764404,909,NA,51.37582397,23.24937248,22.22805405,-163.0737762,-188.8877869,200.4458618,0.261934847,2.055653095,5.608226299,35.56299591,0.104065858,1.121601462,234.4081726,-223.3435059,30m
B2,9,B29,0.062747702,0.031045858,0.311473548,58.95144272,0.166621685,0.166264057,0.271633148,0.037542183,261.7238464,4,0.780985177,6.603231907,12.4247179,1.297184706,8.980237007,0.586812854,0.135101318,0.040825695,0.000213,0.000241,2.596572876,4.846777916,8.691191673,132,1097.61731,909,NA,54.35542297,26.3777504,52.82849884,-163.520752,-189.3509216,210.4795837,1.995831966,2.311393261,2.922371149,35.61652374,0.163494915,1.775500894,305.2710571,-223.7935028,30m
B2,10,B210,0.063757814,0.030849017,0.311452568,58.95287323,0.155915737,0.155563831,0.223121643,0.035017621,186.144989,4,0.780785978,6.603277206,12.4249897,1.297025561,8.980422974,0.586710155,0.099056244,0.038198609,0.00043,6.00E-06,2.599784136,4.850175858,8.710600853,134,1097.687744,909,NA,60.84030914,20.60694504,60.2677002,-163.5040283,-189.3248444,208.9472961,1.929124117,2.295339823,2.966551542,35.58304214,0.164479703,1.785835743,306.6817322,-223.7749634,30m
