"","BLOCK","PLOT","SPP","CODE","prop","cr.points"
"1","B2",1,"NS","NW",0,0
"2","B2",1,"NS","NW",0.0101010101010101,0
"3","B2",1,"NS","NW",0.0202020202020202,0
"4","B2",1,"NS","NW",0.0303030303030303,0
"5","B2",1,"NS","NW",0.0404040404040404,0
"6","B2",1,"NS","NW",0.0505050505050505,0
"7","B2",1,"NS","NW",0.0606060606060606,0
"8","B2",1,"NS","NW",0.0707070707070707,0
"9","B2",1,"NS","NW",0.0808080808080808,0
"10","B2",1,"NS","NW",0.0909090909090909,0
"11","B2",1,"NS","NW",0.101010101010101,10
"12","B2",1,"NS","NW",0.111111111111111,10
"13","B2",1,"NS","NW",0.121212121212121,10
"14","B2",1,"NS","NW",0.131313131313131,20
"15","B2",1,"NS","NW",0.141414141414141,20
"16","B2",1,"NS","NW",0.151515151515152,20
"17","B2",1,"NS","NW",0.161616161616162,20
"18","B2",1,"NS","NW",0.171717171717172,20
"19","B2",1,"NS","NW",0.181818181818182,40
"20","B2",1,"NS","NW",0.191919191919192,40
"21","B2",1,"NS","NW",0.202020202020202,60
"22","B2",1,"NS","NW",0.212121212121212,130
"23","B2",1,"NS","NW",0.222222222222222,150
"24","B2",1,"NS","NW",0.232323232323232,370
"25","B2",1,"NS","NW",0.242424242424242,470
"26","B2",1,"NS","NW",0.252525252525253,490
"27","B2",1,"NS","NW",0.262626262626263,490
"28","B2",1,"NS","NW",0.272727272727273,500
"29","B2",1,"NS","NW",0.282828282828283,510
"30","B2",1,"NS","NW",0.292929292929293,510
"31","B2",1,"NS","NW",0.303030303030303,510
"32","B2",1,"NS","NW",0.313131313131313,510
"33","B2",1,"NS","NW",0.323232323232323,510
"34","B2",1,"NS","NW",0.333333333333333,510
"35","B2",1,"NS","NW",0.343434343434343,510
"36","B2",1,"NS","NW",0.353535353535354,510
"37","B2",1,"NS","NW",0.363636363636364,500
"38","B2",1,"NS","NW",0.373737373737374,500
"39","B2",1,"NS","NW",0.383838383838384,500
"40","B2",1,"NS","NW",0.393939393939394,500
"41","B2",1,"NS","NW",0.404040404040404,500
"42","B2",1,"NS","NW",0.414141414141414,500
"43","B2",1,"NS","NW",0.424242424242424,500
"44","B2",1,"NS","NW",0.434343434343434,500
"45","B2",1,"NS","NW",0.444444444444444,480
"46","B2",1,"NS","NW",0.454545454545455,470
"47","B2",1,"NS","NW",0.464646464646465,470
"48","B2",1,"NS","NW",0.474747474747475,470
"49","B2",1,"NS","NW",0.484848484848485,470
"50","B2",1,"NS","NW",0.494949494949495,470
"51","B2",1,"NS","NW",0.505050505050505,470
"52","B2",1,"NS","NW",0.515151515151515,470
"53","B2",1,"NS","NW",0.525252525252525,470
"54","B2",1,"NS","NW",0.535353535353535,470
"55","B2",1,"NS","NW",0.545454545454546,460
"56","B2",1,"NS","NW",0.555555555555556,450
"57","B2",1,"NS","NW",0.565656565656566,450
"58","B2",1,"NS","NW",0.575757575757576,440
"59","B2",1,"NS","NW",0.585858585858586,440
"60","B2",1,"NS","NW",0.595959595959596,430
"61","B2",1,"NS","NW",0.606060606060606,430
"62","B2",1,"NS","NW",0.616161616161616,430
"63","B2",1,"NS","NW",0.626262626262626,430
"64","B2",1,"NS","NW",0.636363636363636,420
"65","B2",1,"NS","NW",0.646464646464647,410
"66","B2",1,"NS","NW",0.656565656565657,410
"67","B2",1,"NS","NW",0.666666666666667,410
"68","B2",1,"NS","NW",0.676767676767677,410
"69","B2",1,"NS","NW",0.686868686868687,380
"70","B2",1,"NS","NW",0.696969696969697,340
"71","B2",1,"NS","NW",0.707070707070707,320
"72","B2",1,"NS","NW",0.717171717171717,300
"73","B2",1,"NS","NW",0.727272727272727,290
"74","B2",1,"NS","NW",0.737373737373737,270
"75","B2",1,"NS","NW",0.747474747474748,240
"76","B2",1,"NS","NW",0.757575757575758,220
"77","B2",1,"NS","NW",0.767676767676768,190
"78","B2",1,"NS","NW",0.777777777777778,170
"79","B2",1,"NS","NW",0.787878787878788,170
"80","B2",1,"NS","NW",0.797979797979798,150
"81","B2",1,"NS","NW",0.808080808080808,130
"82","B2",1,"NS","NW",0.818181818181818,120
"83","B2",1,"NS","NW",0.828282828282828,90
"84","B2",1,"NS","NW",0.838383838383838,80
"85","B2",1,"NS","NW",0.848484848484849,70
"86","B2",1,"NS","NW",0.858585858585859,70
"87","B2",1,"NS","NW",0.868686868686869,50
"88","B2",1,"NS","NW",0.878787878787879,40
"89","B2",1,"NS","NW",0.888888888888889,30
"90","B2",1,"NS","NW",0.898989898989899,30
"91","B2",1,"NS","NW",0.909090909090909,30
"92","B2",1,"NS","NW",0.919191919191919,30
"93","B2",1,"NS","NW",0.929292929292929,20
"94","B2",1,"NS","NW",0.939393939393939,10
"95","B2",1,"NS","NW",0.94949494949495,0
"96","B2",1,"NS","NW",0.95959595959596,0
"97","B2",1,"NS","NW",0.96969696969697,0
"98","B2",1,"NS","NW",0.97979797979798,0
"99","B2",1,"NS","NW",0.98989898989899,0
"100","B2",1,"NS","NW",1,0
"101","B2",1,"WS","NW",0,0
"102","B2",1,"WS","NW",0.0101010101010101,0
"103","B2",1,"WS","NW",0.0202020202020202,0
"104","B2",1,"WS","NW",0.0303030303030303,0
"105","B2",1,"WS","NW",0.0404040404040404,0
"106","B2",1,"WS","NW",0.0505050505050505,0
"107","B2",1,"WS","NW",0.0606060606060606,0
"108","B2",1,"WS","NW",0.0707070707070707,0
"109","B2",1,"WS","NW",0.0808080808080808,0
"110","B2",1,"WS","NW",0.0909090909090909,0
"111","B2",1,"WS","NW",0.101010101010101,0
"112","B2",1,"WS","NW",0.111111111111111,0
"113","B2",1,"WS","NW",0.121212121212121,0
"114","B2",1,"WS","NW",0.131313131313131,0
"115","B2",1,"WS","NW",0.141414141414141,0
"116","B2",1,"WS","NW",0.151515151515152,0
"117","B2",1,"WS","NW",0.161616161616162,0
"118","B2",1,"WS","NW",0.171717171717172,0
"119","B2",1,"WS","NW",0.181818181818182,0
"120","B2",1,"WS","NW",0.191919191919192,0
"121","B2",1,"WS","NW",0.202020202020202,0
"122","B2",1,"WS","NW",0.212121212121212,0
"123","B2",1,"WS","NW",0.222222222222222,0
"124","B2",1,"WS","NW",0.232323232323232,10
"125","B2",1,"WS","NW",0.242424242424242,10
"126","B2",1,"WS","NW",0.252525252525253,10
"127","B2",1,"WS","NW",0.262626262626263,10
"128","B2",1,"WS","NW",0.272727272727273,10
"129","B2",1,"WS","NW",0.282828282828283,20
"130","B2",1,"WS","NW",0.292929292929293,20
"131","B2",1,"WS","NW",0.303030303030303,10
"132","B2",1,"WS","NW",0.313131313131313,10
"133","B2",1,"WS","NW",0.323232323232323,20
"134","B2",1,"WS","NW",0.333333333333333,40
"135","B2",1,"WS","NW",0.343434343434343,80
"136","B2",1,"WS","NW",0.353535353535354,90
"137","B2",1,"WS","NW",0.363636363636364,180
"138","B2",1,"WS","NW",0.373737373737374,220
"139","B2",1,"WS","NW",0.383838383838384,260
"140","B2",1,"WS","NW",0.393939393939394,350
"141","B2",1,"WS","NW",0.404040404040404,370
"142","B2",1,"WS","NW",0.414141414141414,370
"143","B2",1,"WS","NW",0.424242424242424,380
"144","B2",1,"WS","NW",0.434343434343434,380
"145","B2",1,"WS","NW",0.444444444444444,380
"146","B2",1,"WS","NW",0.454545454545455,380
"147","B2",1,"WS","NW",0.464646464646465,380
"148","B2",1,"WS","NW",0.474747474747475,380
"149","B2",1,"WS","NW",0.484848484848485,370
"150","B2",1,"WS","NW",0.494949494949495,370
"151","B2",1,"WS","NW",0.505050505050505,370
