BLOCK,PLOT,TREE,SPP,DAM1,DEDUCT1,DAM2,DEDUCT2,DAM3,DEDUCT3,T_DEDUCT
B2,1,719,NS,,0,FK,10,FK,18,9
B2,1,726,WS,SN,30,SN,30,SN,10,23
B2,1,728,NS,SPK/WV,8,SPK,7,SPK,4,6
B2,1,732,NS,SPK,2,FK,40,,,14
B2,1,736,NS,,,AD,60,,,20
B2,1,737,WS,AD,25,,,,,8
B2,1,738,WS,SPK,3,,,,,1
B2,1,741,NS,FK,20,SPK,3,FK,11,11
B2,1,742,NS,FK/WV,10,FK/WV,90,,,33
B2,1,753,WS,,,,,,,0
B2,1,754,NS,,,SPK,4,FK/WV,25,10
B2,1,761,WS,,,,,,,0
B2,1,762,NS,BF,35,,,,,12
B2,1,766,WS,,,,,,,0
B2,1,767,NS,FK/WV,13,FK/WV,4,,,6
B2,1,769,WS,,,,,,,0
B2,1,775,WS,,,,,,,0
B2,1,783,WS,,,,,,,0
B2,1,786,WS,,,,,,,0
B2,2,795,NS,,,FK/WV,60,,,20
B2,2,798,NS,,,,,,,0
B2,2,803,NS,FK/WV,5,FK/WV,70,,,25
B2,2,806,NS,BF,15,,,,,5
B2,2,819,NS,,,FK/WV,100,,,33
B2,2,820,NS,,,AD/FK,40,,,13
B2,2,832,NS,BF/SPK,11,FK/WV,16,,,9
B2,2,836,NS,,,FK/WV,12,FK/WV,8,7
B2,2,865,NS,SPK,4,FK/WV,30,,,11
B2,3,201,WS,,,,,,,0
B2,3,859,WS,,,FK/WV,12,SN,5,6
B2,3,870,BS,,,,,,,0
B2,3,878,BS,BF,2,,,,,1
B2,3,880,BS,,,,,,,0
B2,3,886,BS,,,,,,,0
B2,3,887,BS,,,,,,,0
B2,3,889,WS,PV,,PV,,PV,,0
B2,3,891,WS,,,,,FK/WV,10,3
B2,3,895,WS,,,,,,,0
B2,3,901,BS,,,,,,,0
B2,3,903,WS,,,,,,,0
B2,3,910,WS,,,,,,,0
B2,3,913,BS,,,,,,,0
B2,3,914,WS,,,,,,,0
B2,3,916,BS,,,,,,,0
B2,3,919,WS,,,,,,,0
B2,3,920,BS,,,,,,,0
B2,3,924,BS,,,FK/WV,25,,,8
B2,3,928,WS,,,FK/WV,10,,,3
B2,3,931,WS,,,,,,,0
B2,4,942,WS,,,,,,,0
B2,4,946,WS,,,,,,,0
B2,4,947,RS,,,,,,,0
B2,4,948,WS,,,,,,,0
B2,4,949,RS,,,,,,,0
B2,4,953,WS,PV,,PV,,PV,,0
B2,4,955,RS,,,,,,,0
B2,4,959,WS,,,WV,5,,,2
B2,4,963,WS,,,,,,,0
B2,4,965,WS,,,,,,,0
B2,4,966,RS,,,,,,,0
B2,4,968,WS,FUNG,60,WV,15,,,25
B2,4,974,RS,,,,,,,0
B2,4,978,WS,,,,,,,0
B2,4,979,RS,,,,,SN,20,7
B2,4,984,RS,,,,,SPK,2,1
B2,4,986,RS,FUNG,4,,,,,1
B2,4,988,RS,SWP,10,,,,,3
B2,5,994,WS,,,,,,,0
B2,5,997,WS,,,WV,20,WV,20,13
B2,5,998,WS,,,,,,,0
B2,5,1002,WS,WV,5,WV,15,,,7
B2,5,1007,WS,,,,,,,0
B2,5,1010,WS,,,,,SN,15,5
B2,5,1015,WS,,,,,,,0
B2,5,1017,WS,,,WV,10,,,3
B2,5,1032,WS,,,,,WV,15,5
B2,5,1034,RS,,,,,,,0
B2,5,1041,WS,,,,,,,0
B2,6,1077,RS,,,,,BT,75,25
B2,6,1080,RS,,,,,,,0
B2,6,1088,RS,,,,,,,0
B2,6,1090,RS,,,,,,,0
B2,6,1093,NS,,,FK,15,,,5
B2,6,1094,NS,BF,4,SPK,2,,,2
B2,6,1098,NS,,,FK/SPK,20,,,7
B2,6,1115,NS,BF,5,,,,,2
B2,6,1116,NS,,,FK,55,,,18
B2,6,1122,RS,BF,6,,,,,2
B2,6,1123,NS,,,SPK,2,FK,7,3
B2,6,1127,NS,BF,12,SPK,4,,,5
B2,6,1135,RS,SPK,2,SPK/FK,12,,,5
B2,6,1137,RS,,,,,,,0
B2,6,1138,RS,,,,,,,0
B2,6,1139,RS,,,,,,,0
B2,6,1141,RS,,,,,,,0
B2,6,1142,NS,SPK,2,FK/WV/SPK,18,FK/WV,10,10
B2,6,1144,NS,,,,,,,0
B2,6,1145,RS,PV,,PV,,PV,,0
B2,6,1146,NS,BF,4,,,,,1
B2,7,1150,BS,,,,,,,0
B2,7,1153,BS,,,,,,,0
B2,7,1157,BS,,,,,,,0
B2,7,1161,BS,,,,,,,0
B2,7,1163,NS,PV,,PV,,PV,,0
B2,7,1164,NS,PV,,PV,,PV,,0
B2,7,1168,BS,,,,,,,0
B2,7,1173,BS,BF,4,,,SN,4,3
B2,7,1174,BS,BF,4,SN,7,,,4
B2,7,1175,BS,BF,4,,,,,1
B2,7,1181,NS,SPK,3,,,,,1
B2,7,1182,BS,,,,,,,0
B2,7,1183,NS,,,FK/WV,7,,,2
B2,7,1185,NS,,,,,,,0
B2,7,1190,NS,FK,20,FK/WV,15,FK,10,15
B2,7,1191,NS,FK,20,,,,,7
B2,7,1199,NS,,,,,,,0
B2,7,1202,NS,,,,,,,0
B2,7,1205,NS,,,,,,,0
B2,7,1206,NS,,,,,,,0
B2,8,1219,BS,,,,,,,0
B2,8,1222,BS,PV,,PV,,PV,,0
B2,8,1227,BS,,,,,,,0
B2,8,1237,BS,,,,,,,0
B2,8,1238,BS,,,,,,,0
B2,8,1244,BS,,,,,,,0
B2,8,1252,BS,,,,,,,0
B2,8,1256,BS,,,,,,,0
B2,8,1257,BS,,,,,,,0
B2,8,1277,BS,,,,,,,0
B2,9,1308,RS,,,,,,,0
B2,9,1313,RS,BF,5,,,,,2
B2,9,1321,RS,,,,,,,0
B2,9,1322,RS,,,,,,,0
B2,9,1330,RS,SWP,100,FK,100,,,67
B2,9,1331,RS,,,,,,,0
B2,9,1335,RS,,,,,,,0
B2,9,1336,RS,,,,,SWP,20,7
B2,9,1340,RS,,,,,,,0
B2,9,1341,RS,,,,,,,0
B2,10,1344,BS,,,,,SR,10,3
B2,10,1344,BS,,,,,SN,10,3
B2,10,1350,BS,,,,,,,0
B2,10,1350,BS,,,,,,,0
B2,10,1351,RS,,,,,,,0
B2,10,1351,RS,,,,,,,0
B2,10,1352,BS,,,WV,20,,,7
B2,10,1352,BS,,,WV,20,,,7
B2,10,1360,RS,,,FUNG,3,,,1
B2,10,1360,RS,,,FUNG,3,,,1
B2,10,1367,RS,BF,15,,,,,5
B2,10,1367,RS,BF,15,,,,,5
B2,10,1369,RS,SWP,4,,,,,1
B2,10,1373,RS,PV,,PV,,PV,,0
B2,10,1374,BF,BF,2,,,,,1
B2,10,1376,BS,SPK,20,,,,,7
B2,10,1380,RS,,,,,,,0
B2,10,1383,BS,BF,2,,,,,1
B2,10,1384,BS,BF,5,,,,,2
B2,10,1389,BS,,,,,,,0
B2,10,1393,RS,,,,,,,0
B2,10,1394,RS,,,,,,,0
B2,10,1398,RS,,,,,,,0
B2,10,1399,BS,BF,10,,,,,3
B2,10,1401,RS,,,,,,,0
B2,10,1404,BS,,,,,,,0
B2,11,1,RS,BF,10,SPK,8,,,6
B2,11,2,BF,,,,,,,0
B2,11,3,BF,,,,,,,0
B2,11,4,RM,,,,,,,0
B2,11,6,WP,WV,30,WV,15,,,15
B2,11,9,WP,BF,0,WV/SWP,40,WV/SWP,40,27
B2,11,10,BF,,,,,,,0
B2,11,13,WP,BF/WV,60,WV,80,WV,30,57
B2,11,15,WP,,,WV,25,WV,15,13
B2,11,17,WP,WV,20,WV,35,WV,15,23
B2,11,19,BF,,,,,,,0
B2,11,20,WP,WV,80,WV,100,WV,70,83
B2,11,24,RM,SWP,15,FK,60,,,25
B2,11,25,BF,,,,,,,0
B2,11,26,RO,,,,,,,0
B2,11,27,WP,WV,10,WV/FK,30,MT,40,27
B2,11,28,WP,,,FK/SWP,65,SWP,70,45
B2,11,30,BF,,,,,,,0
B2,11,34,RS,,,,,,,0
B2,11,37,RM,BF,,,,,,0
