BLOCK,PLOT,TREE,SPP,DBH.11,DBH.23,HT.23,LLB.HT.23,STATUS.23
B2,1,100,NS,,5.4,,,1
B2,1,101,NS,,5.1,,,1
B2,1,102,NS,,4.3,,,1
B2,1,103,WS,,1.4,,,1
B2,1,104,NS,,1.9,,,1
B2,1,105,NS,,0.3,,,1
B2,1,106,NS,,4.5,,,1
B2,1,107,NS,,4.8,,,1
B2,1,108,NS,,6.4,,,1
B2,1,109,NS,,3.1,,,1
B2,1,709,NS,1.7,,,,14
B2,1,710,NS,2.4,,,,14
B2,1,711,WS,2,3.9,,,1
B2,1,712,NS,1,3,,,1
B2,1,713,NS,1.3,2.8,,,1
B2,1,714,WS,2,3.9,,,1
B2,1,715,NS,4.8,9,,,1
B2,1,716,WS,2.8,4.6,,,1
B2,1,717,WS,,4.9,,,1
B2,1,718,NS,,7.2,,,1
B2,1,719,NS,,5.5,31,4,1
B2,1,720,NS,,1.9,,,1
B2,1,721,NS,4.4,7.6,,,1
B2,1,722,NS,3,6,,,1
B2,1,723,WS,2.6,4.2,,,1
B2,1,724,NS,2.7,4.3,,,1
B2,1,725,NS,3.3,6.2,,,1
B2,1,726,WS,1.3,3.3,24,6,1
B2,1,727,NS,2.3,3.6,,,1
B2,1,728,NS,2.2,4.5,25,8.5,1
B2,1,729,WS,2,3.5,,,1
B2,1,730,NS,2.8,5.8,,,1
B2,1,731,WS,,2.4,,,1
B2,1,732,NS,3.1,5.7,28.5,11.5,1
B2,1,733,WS,2.6,5.3,,,1
B2,1,734,NS,2.8,4.7,,,1
B2,1,735,WS,,4.3,,,1
B2,1,736,NS,2.9,4.3,27,5.5,1
B2,1,737,WS,2.7,4.5,28,10,1
B2,1,738,WS,3.1,5.2,32.5,28,1
B2,1,739,WS,,5.9,,,1
B2,1,740,NS,,5.2,,,1
B2,1,741,NS,3.4,6.1,31.5,5.5,1
B2,1,742,NS,3.5,5.9,29,9.5,1
B2,1,743,NS,3.1,5.2,,,1
B2,1,744,NS,,5,,,1
B2,1,745,WS,2.3,4.6,,,1
B2,1,746,WS,3.6,5.8,,,1
B2,1,747,NS,2.6,4.5,,,1
B2,1,748,NS,2.5,4.1,,,1
B2,1,749,NS,,9.6,,,1
B2,1,750,WS,2.4,3.6,,,1
B2,1,751,NS,2.4,4.2,,,1
B2,1,752,NS,1,2.2,14,9.5,1
B2,1,753,WS,2.6,4.7,30,14,1
B2,1,754,NS,3.4,7,36.5,11.5,1
B2,1,755,WS,2.7,4.8,,,1
B2,1,756,WS,3.3,5.7,,,1
B2,1,757,WS,3.5,5.9,,,1
B2,1,758,WS,2.7,4.5,,,1
B2,1,759,NS,3.5,6.9,,,1
B2,1,760,NS,3.4,4.9,,,1
B2,1,761,WS,3.6,5.9,35.5,22,1
B2,1,762,NS,2,2.4,26.7,9,1
B2,1,763,WS,2.8,6,,,1
B2,1,764,WS,3.5,6.3,,,1
B2,1,765,NS,2.5,2,,,1
B2,1,766,WS,3.4,6.1,36,14,1
B2,1,767,NS,3.3,4.7,29.5,5,1
B2,1,768,NS,3.7,6.6,,,1
B2,1,769,WS,2.9,5.7,38,15,1
B2,1,770,NS,2.7,4.4,,,1
B2,1,771,NS,3.3,5.3,,,1
B2,1,772,WS,4.1,7,,,1
B2,1,773,WS,2.5,3.7,,,1
B2,1,774,WS,3.1,4.5,,,1
B2,1,775,WS,2.4,4.2,31,16.5,1
B2,1,776,NS,3.3,5.4,,,1
B2,1,777,NS,2.9,4.4,,,1
B2,1,778,NS,4,6.4,,,1
B2,1,779,WS,3.5,5.4,,,1
B2,1,780,NS,3,4.1,,,1
B2,1,781,WS,4.4,6.6,,,1
B2,1,782,NS,4.3,6.3,,,1
B2,1,783,WS,2.5,4.6,30,8.5,1
B2,1,784,NS,1.6,2.7,,,1
B2,1,785,NS,4,7.3,,,1
B2,1,786,WS,3.8,5.6,33.5,12,1
B2,1,787,WS,3.1,4.4,,,1
B2,1,788,NS,4.7,7.9,,,1
B2,1,789,WS,3.7,5.2,,,1
B2,1,790,WS,3.8,6.1,,,1
B2,1,791,WS,3.1,4.5,,,1
B2,1,7132,NS,1.9,,,,
B2,1,7342,NS,2.9,,,,
B2,1,7472,NS,2,,,,
B2,1,7522,NS,0.9,,,,
B2,1,7702,NS,2.7,,,,
B2,1,7772,NS,2.2,,,,
B2,2,200,NS,3.7,5.7,,,1
B2,2,201,NS,2.3,3.3,,,1
B2,2,202,NS,2.1,2.9,,,1
B2,2,203,NS,2.7,5.4,,,1
B2,2,204,NS,2.5,4.1,,,1
B2,2,205,NS,2.1,3.1,,,1
B2,2,206,NS,1.8,2.8,,,1
B2,2,207,NS,2.3,3.7,,,1
B2,2,208,NS,2.4,3.9,,,1
B2,2,209,NS,,0.5,,,1
B2,2,210,NS,1.4,2.7,,,1
B2,2,211,NS,2.3,3.5,,,1
B2,2,793,NS,3.7,5.6,,,1
B2,2,794,NS,2.6,4.8,,,1
B2,2,795,NS,2.1,4.6,24.5,7.5,1
B2,2,796,NS,3.5,6,,,1
B2,2,797,NS,2.2,,,,6
B2,2,798,NS,2.2,4.7,25,5.5,1
B2,2,799,NS,,6.8,,,1
B2,2,800,NS,,5.6,,,1
B2,2,801,NS,3.7,6.7,,,1
B2,2,802,NS,3,4.5,,,1
B2,2,803,NS,2.8,4.8,25.5,6,1
B2,2,804,NS,1.9,,,,6
B2,2,805,NS,2.9,5.4,,,1
B2,2,806,NS,2.1,4.6,35,10.5,1
B2,2,807,NS,4.2,7.2,,,1
B2,2,808,NS,2.8,4.5,,,1
B2,2,809,NS,2.6,5.2,,,1
B2,2,810,NS,3.3,5.5,,,1
B2,2,811,NS,3.4,5.4,,,1
B2,2,812,NS,4.6,6.5,,,1
B2,2,813,NS,2.8,5.5,,,1
B2,2,814,NS,3.5,5.5,,,1
B2,2,815,NS,1.5,7.7,,,1
B2,2,816,NS,3.7,6.3,,,1
B2,2,817,NS,1.9,2.8,,,1
B2,2,818,NS,4.5,8,,,1
B2,2,819,NS,3.1,4.3,22.5,4,1
B2,2,820,NS,3.3,5.1,29,12.5,1
B2,2,821,NS,3.2,5.6,,,1
B2,2,822,NS,3.4,6.1,,,1
B2,2,823,NS,2.7,4.5,,,1
B2,2,824,NS,2.4,,,,6
B2,2,825,NS,2,3.9,,,1
B2,2,826,NS,2.9,4.6,,,1
B2,2,827,NS,2.6,4.2,,,1
B2,2,828,NS,3.5,5.6,,,1
B2,2,829,NS,2.6,4.2,,,1
B2,2,830,NS,2.9,5.1,,,1
B2,2,831,NS,3.4,4.9,,,1
B2,2,832,NS,2.3,4.1,26,14.5,1
B2,2,833,NS,4.1,8.2,,,1
B2,2,834,NS,,,,,14
B2,2,835,NS,3.2,6.5,,,1
B2,2,836,NS,2.8,5.1,30,10,1
B2,2,837,NS,3.5,6.6,,,1
B2,2,838,NS,2.9,5.4,,,1
B2,2,839,NS,2.8,5,,,1
B2,2,840,NS,2.3,4,,,1
B2,2,841,NS,4.9,8.2,,,1
B2,2,842,NS,4.1,6.4,,,1
B2,2,843,NS,3.4,4.9,,,1
B2,2,844,NS,2.3,6.1,,,1
B2,2,845,NS,3.1,5.3,,,1
B2,2,846,BF,1.5,2.8,,,1
