Block,Plot,Tree,Spp.,DBH,Ht,HCB,CW1,CW2,Comments
B2,1,710,NS,6.1,,,,,
B2,1,729,NS,5.1,,,,,
B2,1,730,NS,7.2,,,,,
B2,1,750,WS,6,,,,,
B2,1,766,WS,8.6,,,,,
B2,1,751,NS,6.1,,,,,
B2,1,765,NS,6.3,,,,,BARELY ALIVE
B2,1,752,NS,2.6,,,,,
B2,1,7522,NS,2.3,,,,,DID NOT HAVE TAG
B2,1,784,NS,4.1,,,,,
B2,1,767,NS,8.4,,,,,
B2,1,785,NS,10.2,,,,,
B2,1,768,NS,9.5,,,,,
B2,1,764,WS,9,,,,,
B2,1,769,WS,7.4,,,,,
B2,1,782,NS,10.8,,,,,
B2,1,783,WS,6.4,,,,,
B2,1,786,WS,9.7,,,,,
B2,1,781,WS,11.2,,,,,
B2,1,770,NS,6.8,,,,,
B2,1,7702,NS,6.8,,,,,DID NOT HAVE TAG
B2,1,763,WS,7,,,,,
B2,1,716,WS,7.2,,,,,
B2,1,753,WS,6.5,,,,,
B2,1,754,NS,8.6,,,,,
B2,1,747,NS,6.5,,,,,
B2,1,7472,NS,5.2,,,,,
B2,1,745,WS,5.8,,,,,
B2,1,746,WS,9.1,,,,,
B2,1,734,NS,7.1,,,,,
B2,1,7342,NS,7.3,,,,,
B2,1,733,WS,6.6,,,,,
B2,1,732,NS,7.9,,,,,
B2,1,748,NS,6.3,,,,,
B2,1,713,NS,3.2,,,,,
B2,1,7132,NS,4.8,,,,,
B2,1,726,WS,3.2,,,,,
B2,1,727,NS,5.9,,,,,
B2,1,711,WS,5.2,,,,,
B2,1,709,NS,4.4,,,,,
B2,1,728,NS,5.7,,,,,
B2,1,712,NS,2.6,,,,,
B2,1,725,NS,8.5,,,,,
B2,1,714,WS,5.1,,,,,
B2,1,724,NS,6.8,,,,,
B2,1,723,WS,6.5,,,,,
B2,1,715,NS,12.1,,,,,
B2,1,736,NS,7.4,,,,,
B2,1,722,NS,7.7,,,,,
B2,1,725,WS,7.2,,,,,
B2,1,743,NS,7.9,,,,,
B2,1,737,WS,6.8,,,,,
B2,1,721,NS,11.1,,,,,
B2,1,742,NS,9,,,,,
B2,1,738,WS,7.9,,,,,
B2,1,756,WS,8.5,,,,,
B2,1,741,NS,8.7,,,,,
B2,1,760,NS,8.7,,,,,
B2,1,757,WS,8.8,,,,,
B2,1,761,WS,9.1,,,,,
B2,1,758,WS,6.9,,,,,
B2,1,772,WS,10.5,,,,,
B2,1,773,WS,6.3,,,,,
B2,1,759,NS,8.8,,,,,
B2,1,755,WS,6.9,,,,,
B2,1,774,WS,7.8,,,,,
B2,1,779,WS,9,,,,,
B2,1,762,NS,5.2,,,,,
B2,1,775,WS,6.1,,,,,
B2,1,780,NS,7.5,,,,,
B2,1,787,WS,7.9,,,,,
B2,1,771,NS,8.5,,,,,
B2,1,776,NS,8.5,,,,,
B2,1,788,NS,11.9,,,,,
B2,1,786,NS,8.8,,,,,
B2,1,777,NS,7.3,,,,,
B2,1,7772,NS,5.6,,,,,DID NOT HAVE TAG
B2,1,787,NS,7.9,,,,,
B2,1,789,WS,9.3,,,,,
B2,1,778,NS,10.2,,,,,
B2,1,791,WS,7.9,,,,,
B2,1,790,WS,9.7,,,,,
B2,2,801,NS,9.4,,,,,
B2,2,798,NS,5.6,,,,,
B2,2,797,NS,5.6,,,,,HARDLY ALIVE
B2,2,802,NS,7.6,,,,,
B2,2,807,NS,10.7,,,,,
B2,2,811,NS,8.6,,,,,
B2,2,823,NS,6.8,,,,,
B2,2,838,NS,7.4,,,,,
B2,2,850,NS,6,,,,,
B2,2,867,NS,6.7,,,,,
B2,2,868,NS,5.7,,,,,
B2,2,851,NS,8.7,,,,,
B2,2,839,NS,7.1,,,,,
B2,2,846,BF,3.9,,,,,SPECIES = BF
B2,2,839,NS,7.5,,,,,
B2,2,822,NS,8.7,,,,,
B2,2,812,NS,11.6,,,,,
B2,2,813,NS,7.1,,,,,
B2,2,806,NS,5.3,,,,,
B2,2,8062,NS,4.6,,,,,DID NOT HAVE TAG
B2,2,803,NS,7.1,,,,,
B2,2,796,NS,8.8,,,,,
B2,2,804,NS,4.9,,,,,
B2,2,795,NS,5.4,,,,,
B2,2,794,NS,6.5,,,,,
B2,2,793,NS,9.4,,,,,
B2,2,816,NS,9.4,,,,,
B2,2,805,NS,7.3,,,,,
B2,2,817,NS,4.9,,,,,
B2,2,8172,NS,5.3,,,,,DID NOT HAVE TAG
B2,2,814,NS,8.8,,,,,
B2,2,821,NS,8.1,,,,,
B2,2,841,NS,12.5,,,,,
B2,2,840,NS,5.9,,,,,
B2,2,861,NS,4.9,,,,,
B2,2,860,NS,3.5,,,,,
B2,2,847,NS,1.9,,,,,
B2,2,8472,NS,2.8,,,,,DID NOT HAVE TAG
B2,2,844,NS,5.8,,,,,
B2,2,835,NS,8.2,,,,,
B2,2,8352,NS,6.2,,,,,DID NOT HAVE TAG
B2,2,833,NS,10.5,,,,,
B2,2,832,NS,5.9,,,,,
B2,2,8322,NS,5.8,,,,,DID NOT HAVE TAG
B2,2,830,NS,7.3,,,,,
B2,2,829,NS,6.7,,,,,
B2,2,8292,NS,6.9,,,,,
B2,2,827,NS,6.7,,,,,
B2,2,8272,NS,9.4,,,,,DID NOT HAVE TAG
B2,2,826,NS,7.4,,,,,
B2,2,828,NS,8.9,,,,,
B2,2,831,NS,8.7,,,,,
B2,2,8312,NS,6.3,,,,,DID NOT HAVE TAG
B2,2,8313,NS,5.3,,,,,DID NOT HAVE TAG
B2,2,809,NS,6.7,,,,,
B2,2,810,NS,8.4,,,,,
B2,2,824,NS,6,,,,,DEAD
B2,2,825,NS,5.2,,,,,
B2,2,8252,NS,3.5,,,,,
B2,2,837,NS,9,,,,,
B2,2,836,NS,7.1,,,,,
B2,2,848,NS,11.8,,,,,
B2,2,864,NS,8.1,,,,,
B2,2,865,NS,8.2,,,,,
B2,2,866,NS,7.8,,,,,
B2,2,849,NS,7.4,,,,,
B2,2,837,NS,9,,,,,
B2,2,808,NS,7,,,,,
B2,2,8082,NS,5.8,,,,,DID NOT HAVE TAG
B2,2,845,NS,7.9,,,,,
B2,2,852,NS,6.6,,,,,
B2,2,869,NS,5.3,,,,,
B2,2,855,NS,3.3,,,,,
B2,2,856,NS,4.5,,,,,
B2,2,854,NS,8.9,,,,,
B2,2,853,NS,6.5,,,,,
B2,2,844,NS,10.2,,,,,
B2,2,843,NS,8.6,,,,,
B2,2,8432,NS,5.9,,,,,DID NOT HAVE TAG
B2,2,842,NS,10.3,,,,,
B2,2,820,NS,8.5,,,,,
B2,2,821,NS,8.1,,,,,
B2,2,819,NS,8,,,,,
B2,2,815,NS,3.9,,,,,
B2,2,818,NS,11.4,,,,,
B2,3,922,WS,7.2,5.04,72,,,
B2,3,921,WS,6.4,,,,,
B2,3,937,WS,8,,,,,
B2,3,916,BS,6.2,,,,,
B2,3,911,WS,5.9,,,,,
B2,3,917,WS,9.4,,,,,
B2,3,910,WS,8,,,,,
B2,3,907,BS,6.6,,,,,
B2,3,906,WS,6,,,,,
B2,3,898,WS,9.5,,,,,
B2,3,894,WS,5.6,,,,,
B2,3,897,BS,6.9,,,,,
B2,3,893,WS,3,,,,,
B2,3,896,WS,4,,,,,
B2,3,881,BF,4.7,,,,,BALSAM FIR
B2,3,880,BS,8.9,,,,,
B2,3,879,BS,6.5,,,,,SAME BASE AS 878
B2,3,878,BS,6.7,,,,,SAME BASE AS 879
B2,3,882,WS,6.8,,,,,
B2,3,874,WS,6.2,,,,,
